,eeriness,likability
0,0,4
1,4,3
2,7,1
3,5,4
4,4,3
5,0,3
6,5,2
7,4,3
8,3,4
9,1,7
10,3,1
11,3,4
12,2,3
13,2,1
14,1,4
15,3,3
16,2,1
17,2,3
18,2,3
19,2,5
20,3,1
21,3,2
22,3,3
23,5,2
24,2,2
25,6,5
26,3,4
27,2,4
28,1,5
29,8,2
30,8,1
31,5,5
32,4,1
33,3,3
34,6,1
35,3,2
36,2,3
37,2,7
38,2,2
39,3,4
40,2,3
41,3,3
42,0,6
43,5,3
44,5,1
45,4,3
46,3,2
47,1,3
48,1,2
49,3,2
50,5,4
51,5,2
52,3,2
53,5,4
54,2,3
55,2,4
56,4,2
57,5,5
58,3,2
59,4,3
60,3,3
61,5,2
62,6,2
63,2,4
64,6,1
65,4,3
66,5,2
67,2,3
68,4,2
69,5,2
70,3,3
71,6,3
72,4,3
73,2,2
74,3,2
75,7,3
76,2,3
77,8,2
78,3,4
79,5,1
80,4,3
81,2,3
82,6,2
83,3,5
84,3,4
85,3,5
86,3,3
87,6,1
88,3,3
89,5,2
90,5,3
91,4,3
92,5,3
93,4,5
94,3,2
95,5,1
96,4,2
97,5,1
98,4,3
99,6,3
100,2,4
101,2,3
102,6,3
103,4,3
104,2,3
105,5,2
106,4,4
107,7,2
108,4,4
109,4,2
110,5,2
111,3,5
112,5,2
113,2,4
114,1,5
115,4,5
116,0,2
117,2,5
118,6,1
119,2,3
120,3,4
121,0,4
122,4,3
123,6,4
124,3,4
125,4,1
126,2,5
127,4,2
128,5,4
129,3,4
130,3,3
131,3,4
132,4,3
133,5,5
134,3,3
135,5,4
136,5,2
137,1,5
138,6,2
139,2,2
140,3,2
141,2,3
142,6,4
143,5,3
144,3,4
145,4,3
146,4,1
147,4,2
148,3,4
149,4,4
150,5,3
151,4,5
152,3,3
153,5,4
154,3,3
155,2,2
156,3,2
157,5,4
158,4,3
159,1,5
160,4,4
161,2,2
162,1,5
163,4,3
164,4,4
165,3,2
166,2,3
167,1,3
168,5,4
169,4,4
170,4,2
171,4,6
172,4,5
173,1,5
174,3,1
175,4,3
176,5,4
177,4,4
178,4,3
179,4,2
180,4,5
181,3,3
182,6,3
183,3,2
184,5,3
185,4,5
186,5,5
187,6,3
188,6,5
189,4,3
190,4,2
191,7,4
192,7,3
193,3,5
194,6,3
195,2,2
196,4,4
197,4,2
198,5,6
199,5,2
200,4,4
201,6,2
202,6,1
203,5,3
204,6,4
205,2,4
206,5,3
207,5,2
208,4,6
209,7,1
210,4,4
211,7,1
212,6,2
213,6,5
214,8,2
215,2,4
216,8,4
217,3,2
218,6,6
219,5,2
220,6,4
221,7,1
222,4,2
223,2,4
224,6,2
225,5,3
226,5,3
227,4,2
228,3,2
229,3,4
230,3,3
231,5,2
232,0,4
233,3,5
234,2,4
235,6,4
236,7,3
237,2,2
238,4,4
239,4,5
240,5,4
241,7,2
242,0,5
243,4,4
244,0,4
245,4,3
246,5,4
247,6,1
248,5,2
249,4,4
250,6,3
251,6,2
252,0,5
253,8,4
254,4,3
255,6,2
256,6,2
257,5,3
258,4,3
259,2,3
260,1,5
261,7,1
262,3,3
263,4,3
264,4,4
265,4,4
266,5,3
267,4,2
268,4,3
269,5,7
270,4,4
271,4,2
272,4,2
273,2,4
274,1,4
275,3,3
276,5,4
277,5,3
278,6,2
279,3,4
280,6,1
281,6,3
282,4,6
283,5,4
284,5,3
285,6,1
286,4,4
287,6,2
288,5,4
289,3,3
290,5,3
291,8,4
292,5,2
293,7,2
294,5,4
295,6,2
296,6,3
297,8,4
298,6,3
299,5,4
300,4,3
301,5,5
302,4,5
303,4,2
304,2,7
305,4,5
306,5,4
307,5,2
308,4,3
309,4,3
310,3,2
311,6,4
312,5,5
313,5,4
314,5,3
315,8,2
316,4,3
317,7,2
318,6,2
319,4,5
320,3,4
321,8,2
322,4,1
323,8,5
324,3,4
325,8,1
326,8,1
327,8,4
328,5,3
329,3,6
330,4,4
331,4,5
332,3,3
333,5,3
334,3,6
335,3,3
336,5,3
337,6,3
338,7,1
339,5,3
340,6,4
341,6,2
342,2,4
343,3,3
344,4,4
345,6,5
346,2,4
347,7,1
348,2,4
349,1,4
350,1,6
351,5,6
352,6,3
353,4,4
354,7,3
355,4,1
356,3,4
357,6,4
358,4,3
359,5,3
360,6,2
361,6,1
362,2,6
363,2,3
364,4,3
365,5,5
366,4,4
367,6,2
368,5,3
369,7,1
370,5,2
371,8,3
372,6,4
373,5,2
374,5,4
375,5,1
376,2,5
377,4,2
378,4,4
379,3,3
380,5,4
381,8,2
382,6,6
383,5,4
384,5,3
385,1,3
386,3,4
387,5,3
388,7,3
389,7,2
390,2,4
391,5,4
392,2,5
393,4,3
394,6,3
395,7,1
396,5,3
397,3,4
398,9,1
399,8,4
400,4,4
401,6,4
402,5,2
403,4,4
404,6,2
405,6,3
406,5,4
407,8,2
408,7,2
409,5,4
410,5,5
411,0,4
412,4,2
413,5,5
414,9,1
415,3,3
416,3,5
417,2,5
418,5,3
419,5,3
420,3,3
421,5,2
422,6,1
423,4,3
424,6,3
425,6,4
426,3,4
427,6,2
428,9,1
429,3,2
430,4,2
431,6,2
432,4,4
433,8,1
434,4,2
435,6,4
436,3,2
437,2,4
438,3,1
439,2,5
440,5,4
441,8,2
442,7,1
443,5,3
444,1,4
445,3,3
446,4,4
447,4,3
448,4,2
449,5,3
450,4,3
451,2,6
452,4,5
453,5,6
454,4,3
455,4,3
456,1,5
457,3,5
458,5,3
459,2,4
460,7,2
461,4,1
462,4,5
463,5,1
464,2,4
465,3,3
466,1,6
467,4,1
468,4,1
469,4,2
470,6,6
471,3,4
472,6,3
473,5,4
474,5,2
475,4,4
476,2,3
477,4,5
478,5,1
479,4,6
480,5,5
481,3,5
482,6,4
483,5,2
484,1,5
485,2,4
486,3,5
487,6,4
488,3,1
489,4,2
490,8,1
491,4,4
492,6,3
493,2,3
494,3,2
495,5,2
496,5,3
497,4,1
498,1,2
499,5,5
500,5,3
501,6,5
502,6,2
503,2,2
504,4,3
505,3,3
506,8,2
507,6,4
508,5,3
509,4,4
510,8,2
511,6,4
512,5,5
513,4,4
514,1,6
515,6,2
516,2,2
517,7,2
518,4,2
519,5,5
520,4,3
521,4,3
522,8,2
523,4,3
524,6,4
525,1,7
526,2,3
527,3,3
528,7,3
529,6,1
530,3,5
531,1,4
532,2,3
533,4,4
534,3,5
535,2,4
536,7,1
537,6,1
538,3,6
539,6,1
540,2,4
541,4,5
542,2,1
543,3,5
544,6,2
545,3,4
546,3,3
547,6,4
548,6,2
549,6,1
550,5,4
551,3,6
552,4,4
553,3,2
554,5,3
555,3,4
556,6,2
557,5,2
558,4,4
559,4,2
560,5,3
561,3,4
562,4,1
563,3,3
564,6,5
565,3,2
566,2,4
567,4,3
568,5,7
569,0,2
570,6,2
571,6,2
572,0,3
573,6,3
574,2,3
575,4,1
576,6,3
577,4,2
578,5,3
579,4,3
580,3,2
581,2,2
582,6,4
583,6,3
584,5,3
585,5,2
586,7,2
587,6,3
588,5,5
589,4,4
590,8,1
591,5,1
592,8,1
593,4,3
594,6,6
595,4,4
596,1,3
597,3,1
598,2,4
599,5,3
600,5,4
601,5,1
602,4,3
603,6,1
604,4,2
605,2,2
606,6,1
607,8,3
608,6,5
609,3,6
610,5,4
611,4,2
612,6,4
613,7,1
614,6,2
615,6,3
616,2,1
617,2,5
618,3,4
619,4,3
620,5,2
621,6,2
622,7,2
623,5,7
624,5,7
625,2,1
626,5,4
627,5,1
628,1,3
629,4,2
