id,grupa,model01b,model02,model03,model04,model05,model06,model07,model08,model09,model10,model11,model12
1,2,3,3,3,3,3,3,4,4,4,4,4,4
2,2,2,2,0,2,2,2,4,4,3,3,4,4
3,1,3,2,2,3,3,3,4,4,4,4,4,4
5,2,2,2,2,2,3,2,4,4,3,4,4,4
6,2,0,0,0,2,1,1,2,2,2,3,3,4
7,1,1,2,0,0,2,1,4,4,4,4,4,4
8,1,0,0,0,2,3,2,3,3,3,4,4,3
11,2,1,1,0,2,2,2,3,3,4,4,4,4
12,1,1,1,1,1,2,2,3,3,4,4,4,4
13,1,4,3,3,3,3,3,4,4,4,4,4,4
14,1,1,1,1,2,2,2,3,3,3,4,3,3
15,1,1,0,2,2,2,2,3,4,3,4,4,4
16,2,3,2,1,2,2,3,2,3,3,3,3,3
17,2,2,2,1,2,2,2,3,3,3,3,4,4
19,1,1,1,0,0,2,2,3,4,3,4,4,4
20,1,3,2,2,3,3,3,4,3,3,4,4,4
21,1,0,1,0,2,2,3,4,4,3,4,4,4
22,2,2,2,1,2,2,2,3,3,4,4,3,4
26,2,1,1,1,2,2,2,1,3,2,3,4,4
27,1,0,0,0,2,3,3,3,3,4,4,4,4
30,1,1,1,1,1,2,1,3,3,3,3,3,3
31,2,1,1,3,1,2,2,4,4,3,3,4,4
32,2,1,2,1,3,3,3,3,4,3,4,4,4
34,1,2,1,1,1,2,2,3,4,3,4,4,4
35,2,2,2,2,2,2,2,4,4,2,4,4,4
36,2,3,4,2,3,3,3,4,4,4,4,4,4
37,2,1,1,1,2,2,2,4,4,4,4,4,4
38,1,1,1,1,2,1,1,0,2,4,3,4,4
39,1,2,1,1,2,2,4,3,3,4,4,4,4
40,2,1,1,1,2,3,3,3,2,3,3,3,4
41,1,3,2,2,2,2,3,4,4,4,3,4,4
42,2,1,1,0,2,2,2,3,3,4,3,3,4
43,1,0,0,0,0,1,0,2,1,3,3,3,2
